Ncycles,Temperature,Vth_fresh,Vth_degraded
100000.0,-40,0.5393690201073934,0.49312117822321866
10000.0,125,0.5282383700404747,0.4790734775617974
10000.0,125,0.5274930383613099,0.4735665373439912
10000.0,25,0.5205786233674844,0.47940420692964386
1000.0,125,0.5232474276362267,0.4828018720960578
1000.0,-40,0.5063547960623651,0.4789625431723584
10000.0,25,0.5044168340332382,0.4626572608038573
1000.0,25,0.4992526775158869,0.46760492402711346
10000.0,125,0.5144205086799931,0.46238783659744176
100000.0,25,0.5121425498154439,0.4570762095834338
10000.0,-40,0.5126317076478959,0.47498402523512717
1000.0,-40,0.5173759577786146,0.4884265474065566
100000.0,125,0.5099419197382187,0.4491509656437613
10000.0,-40,0.519217961131211,0.4839426816126722
1000.0,-40,0.4991366030926078,0.4712327059121715
1000.0,25,0.515372161775233,0.4773749381045619
100000.0,-40,0.5346667554495382,0.4847355399075677
10000.0,-40,0.5094122671048343,0.4740730735533235
1000.0,25,0.51925715747526,0.4890582380484295
10000.0,125,0.5236717353333111,0.47216775340273537
100000.0,25,0.5212410292767481,0.470033836519143
100000.0,-40,0.5409577984457993,0.49343432309594365
10000.0,125,0.5196735193666787,0.46583364467846367
100000.0,25,0.5242861884519837,0.468310494485661
100000.0,-40,0.5003895835865402,0.45395652324211855
10000.0,25,0.5256638929812478,0.48480574007377386
10000.0,-40,0.5039479968892312,0.4667659166331992
1000.0,-40,0.516362280667236,0.49199548780311586
100000.0,25,0.5448386936383275,0.4938406248720884
10000.0,125,0.5277144936719426,0.47215840560922806
1000.0,-40,0.517979535694109,0.4904334464229873
100000.0,125,0.5093352249016246,0.44644866893784935
100000.0,25,0.5287837787775256,0.47583132205265544
100000.0,25,0.5269699635068528,0.47671969054256885
100000.0,-40,0.5328729736769489,0.48569121417532063
100000.0,125,0.5285052708979185,0.46289195491810714
100000.0,-40,0.5258055587781516,0.4801911869012004
100000.0,125,0.5170109565361867,0.45407210486253496
10000.0,125,0.5131866464215825,0.46101614299776417
10000.0,-40,0.5182376547420381,0.47816555237422514
10000.0,25,0.5018377060556599,0.46023554593307336
10000.0,125,0.5235745070411141,0.4704791707233926
1000.0,-40,0.52720557725801,0.4983043891475982
10000.0,25,0.5307209653247063,0.49161545636688364
1000.0,-40,0.5149639678837848,0.4882382971641152
1000.0,125,0.5127650050063142,0.46865173767785506
100000.0,25,0.5209009567894208,0.4679831296350605
10000.0,125,0.49892225091670506,0.44648517174211677
100000.0,-40,0.5127984257572444,0.4652278356392647
100000.0,-40,0.5129702654897008,0.4655172365213797
100000.0,25,0.5210208790116849,0.4721402083797522
100000.0,125,0.508793243890243,0.44435003647921323
10000.0,25,0.541608436367059,0.4970811762678854
10000.0,25,0.5202918832321899,0.4775323040068946
1000.0,125,0.5138451108666787,0.47444243277844683
10000.0,-40,0.5297680207342153,0.4916884848070727
10000.0,-40,0.52751545429983,0.4872112233223809
100000.0,125,0.5171973796094999,0.4569648040509812
1000.0,125,0.5138378316688518,0.47197092011787845
1000.0,125,0.5185870391598114,0.4766113508587496
1000.0,-40,0.5386124426453591,0.5129980143646843
100000.0,125,0.5305633289750358,0.4699869135514515
100000.0,125,0.51367303995129,0.4524376305613311
10000.0,25,0.5075671727680368,0.46619729942506577
10000.0,25,0.5126708094755472,0.46945150137901415
1000.0,125,0.5014140069126646,0.4611434511382311
1000.0,125,0.49215288865073836,0.4503257010682614
100000.0,125,0.5424937740314304,0.48208941918537174
1000.0,-40,0.5241682857491287,0.4985683869217551
